COMMENT,MOOD
 Cảm thấy cô đơn giữa đám đông,Sad
Trái tim đập thình thịch. Sợ lắm,Worry
 Mình tin tưởng nó tuyệt đối,InLove
"""Một bài hát được chia sẻ, tự dưng thấy tâm đầu ý hợp.""",InLove
Cảm giác như mình đang sống trong một bộ phim mà tui không phải là diễn viên chính,Sad
"Tự nhiên thấy mình ""vô dụng""... chắc do chưa tìm được mục tiêu",Worry
Và mãi mãi,Neutral
Mắt cứ nhìn màn hình,Neutral
"""Yêu bản thân"" và ""lan tỏa năng lượng tích cực""! 💖",Happy
" Hôm nay lướt story crush, thấy ảnh đi ăn kem với ai kia... 🥲",Sad
" Mình sẽ luôn ở bên cạnh, che chở và bảo vệ em/anh",InLove
Xin lỗi vì đã làm tổn thương crush! 😭,SadSad
 Tôi không thể chịu đựng được sự kiêu ngạo của anh ta!,Angry
Ước gì mình và ổng có thể ở bên nhau mãi mãi! ✨,Inlove
Hứ!,AngryAngry
Ngáp,Neutral
"Tui ""khum"" muốn lớn nữa. Cuộc sống trưởng thành khó khăn quá!",Worry
Hôm nay tui lại mất ngủ vì những suy nghĩ vẩn vơ,Sad
What to do now?,Worry
 Yêu cậu ấy 3000! ❤️,InLove
Tôi xin thề,Worry
Muốn được khen ngợi,Worry
"""Bị côn trùng cắn. Đau quá!!!""",Angry
"Hôm nay tui lại ""flex"" sự cô đơn của mình",Sad
 Quá đã!,Happy
 Vấn đề kinh tế,Neutral
 Tắm rửa,Neutral
Họ thật là cứng đầu!,Angry
"Crush đăng status thả thính kìa mấy má ơi!!! Không biết là ""thả"" ai đây???",Happy
 Cố gắng tỏ ra mạnh mẽ,Worry
 Muốn gì?,Angry
 Tui cần một kỳ nghỉ dài hạn,Angry
Tui không biết mình còn có thể chịu đựng được bao lâu,Sad
 Tui muốn được kết nối với mọi người xung quanh. 🔗,Worry
Cảm thấy như mình đang bị bỏ rơi,Sad
Hôm nay tôi đã làm được một điều [hành động ý nghĩa],Happy
"Tình yêu giống như một bản nhạc buồn, nghe thì hay nhưng mà đau tim quá. 💔",Inlove
 Bỏ cuộc được không?,Angry
Tự ôm lấy mình và khóc thật to,Sad
Ha ha,Neutral
Chỉ là tui,Neutral
" ""Tui mà là nhà thiết kế thời trang, tui sẽ tạo ra một bộ trang phục ""chất chơi"" để thể hiện cá tính của mình!""",Angry
" ""Sao lúc nào mình cũng phải nhường nhịn vậy? Bực easy!""",Angry
Sao cứ thích gây sự hoài vậy?,Angry
Mình thấy cô đơn ngay cả khi ở giữa đám đông. Có ai hiểu được mình không? 😔,Worry
"Tình yêu không phải là tìm một người hoàn hảo, mà là tìm một người khiến bạn muốn hoàn thiện hơn. 🌻",Inlove
 Tình yêu là động lực giúp ta vượt qua mọi khó khăn,InLove
"""Sunset"" hôm nay đẹp như tranh vẽ. Tui ước gì có ai đó cùng ngắm với tui",Happy
Xem phim buồn. Không khóc,Neutral
K-pop? US-UK? V-pop?,Neutral
Help me!,Worry
" *Hạnh phúc đơn giản chỉ là được ở bên gia đình, quây quần bên mâm cơm ấm cúng.* (Văn phong nhẹ nhàng)",Happy
" Xem được một bộ phim cảm động, khóc như mưa nhưng lòng lại nhẹ nhàng",Happy
 Tui sẽ làm tất cả để tình yêu của tụi mình bền vững,Inlove
Em cún nhà hàng xóm sủa. Ồn ào,Neutral
 Khóc một trận cho đã rồi tính tiếp,InLove
"""Tui sẽ"" thay đổi thế giới",Sad
Mỏi mắt. Nghỉ,Neutral
"Tui là fan cứng của trà sữa trân châu đường đen, ai chung thuyền không? 🚢",Happy
 Sắp ngất rồi,Worry
"""Flex"" hoài có mệt không? Sao ai cũng thích khoe mẽ vậy cà? 🤔",Sad
"""Tui đang ""focus"" vào sự nghiệp.""",Inlove
Tui sợ phải mất mát,Worry
Thờ ơ,Neutral
 Cuộc sống thật đẹp và đáng sống,Happy
Tui ước gì mình có một người bạn thật sự,Sad
 Ngủ quên,Neutral
Tắt chuông đi vậy,Neutral
 Lỡ chuyến xe buýt,Neutral
Nhận ra rằng không phải ai mình tin tưởng cũng đáng tin,Worry
Sao tui cứ mãi trốn tránh những vấn đề của mình vậy nè?,Sad
 Cảm giác được yêu thật tuyệt vời,InLove
"Tui ""say yes"" với những điều tích cực! 👍",Happy
Thở dài,Angry
" ""Bị chê"" xấu xí. Tui ""tự ti"" dễ sợ. 😫",Angry
"Tui chỉ muốn ""drop out"" ngay và luôn á! Ước gì ba mẹ không ""dí""! 😔",Angry
 Yêu đời lên nào!,Happy
"""Học hỏi"" kinh nghiệm từ người lớn, ""trưởng thành"" hơn!",Happy
Sợ ngày mai phải đi học... 😫,Worry
"Crush làm tui ""sticker"" dán đầy nhật ký tình yêu!",InLove
"Tui thích cái cảm giác một mình, nhưng tui lại sợ cô đơn khi không có crush bên cạnh. 🥲",Inlove
 Chỉ cần cậu ấy ở đây,InLove
"""Tui ổn"" (nhưng thật ra là không)",Sad
 Bế tắc thật sự,Worry
"""Hôm nay mình đã làm được một điều tuyệt vời""!",Happy
 Cảm thấy trống rỗng,Neutral
"""Tui không giỏi thể hiện cảm xúc, nhưng tui muốn crush biết tui thích crush...""",InLove
 No rồi,Neutral
Khum biết,Neutral
" ""Mood"" nay ""healing"" bên bờ biển, ""chill"" hết nấc! 😌",Happy
 Ngủ,Neutral
Sao tui không thể tìm được lối thoát?,Worry
Gặp gỡ bạn bè,Neutral
" ""Sao tui cứ cười tủm tỉm khi nghĩ về ổng vậy nè? Mắc bệnh gì á trời.""",Inlove
 (Nam)  Mình thấy hạnh phúc khi nhìn thấy nụ cười của cô ấy,InLove
Tìm kiếm một phiên bản mới của bản thân,Inlove
"""Trái tim tan vỡ, không thể hàn gắn.""",InLove
Tin tức. Tiêu cực,Neutral
" Đi ăn ""buffet"" no say, ""foodie"" hạnh phúc vô bờ bến!",Happy
Những ký ức xưa cũ cứ ùa về,Sad
Hôm nay tui đã làm được một điều tốt,Happy
"Okela, ""khóc thét"" thật sự! 😭",Worry
Tui chỉ muốn được quên đi những nỗi đau,Worry
Sao mình cứ mãi cô đơn thế này?,Sad
Không còn niềm tin vào bất cứ điều gì nữa,Sad
"Nỗi nhớ anh như một cơn sóng, lúc ập đến, lúc lại dịu êm",Inlove
" Chán đời, chán người. (chán nhưng không buồn, chỉ là chán cái sự bực mình)",Angry
" Mệt mỏi quá, chẳng muốn làm gì cả",Sad
Mây xám xịt,Neutral
Không có gì đặc biệt,Neutral
Hết sẩy!,Happy
Mai tính,Neutral
Mình không biết mình nên làm gì,Sad
"Tui muốn ""cosplay"" thành nhân vật trong truyện tranh. 📚",Sad
"""Tui nghĩ tui nên ""tỏ tình"" với ổng không? Nhưng mà nhát quá.""",Inlove
"""Thưởng thức"" ẩm thực địa phương, ""mở mang"" vị giác!",Happy
 Không biết mình là ai,Sad
Tui cảm thấy thoải mái khi được ở một mình!,Happy
 Sự bất bình đẳng giàu nghèo quá lớn!,Angry
Thế giới này đáng sợ quá,Worry
Thèm một cái ôm ấm áp. 🤗,Sad
 Tôi sẽ không để ai làm tổn thương mình nữa,Angry
 Mọi thứ cứ chồng chất lên nhau,Worry
"""Viết truyện"" để ""kể"" những câu chuyện, ""mở rộng"" trí tưởng tượng!",Happy
"Sao ai cũng có bồ hết rồi, còn tui vẫn FA bền vững? Tức!",Angry
 Argh!,Angry
"Nay ""mood"" tụt dốc không phanh!",Angry
"Đi ăn lẩu thái mà no banh bụng, hạnh phúc là đây chứ đâu! 🍲",Happy
"""Đi ăn lẩu nướng bị tính tiền quá đắt. 😡""",Angry
"Crush làm tui ""reset"" lại những suy nghĩ tiêu cực!",InLove
" Hôm nay mặc đồ ""matchy-matchy"" với crush. Coincidence? I think not! 😏",Inlove
Tui không phải osin của bạn nha,Angry
 Nấu được bữa cơm ngon cho gia đình,Happy
"""Vỡ tan"" rồi còn gì?",Sad
Hạnh phúc nhỏ nhoi,Happy
 Bế tắc quá đi mất,Worry
"Nay tui đi ""healing"" tâm hồn ở quán cafe quen",Sad
"Cố tỏ ra là mình ổn, nhưng sâu bên trong nước mắt là biển rộng",InLove
Mình có nên từ bỏ ước mơ của mình và chấp nhận một cuộc sống bình thường?,Worry
 Áp lực quá!,Angry
"Tui sợ một ngày nào đó, tui sẽ phải đối diện với cái chết 💀",Sad
"Mấy bà ơi, crush làm tui ""tổn thương"" quá! 😭",Inlove
Một vòng lặp vô tận,Neutral
"Nay tui ""flex"" được cái bánh tự làm, ngon nhức nách! 🎂",Happy
" Tự làm bánh xong, ngon xuất sắc!  Auto khen mình tài giỏi",Happy
"""Hết nói nổi"" với cái sự ""delay"" của bạn, trễ giờ của tui rồi đó!",Angry
"Tui chỉ muốn được ""disconnect"" khỏi thế giới ảo và kết nối với bản thân",Worry
Im lặng,Neutral
" ""Just had"" một buổi tối ""vibe"" cực mạnh với ""besties"", yêu đời! 💕",Happy
Truyện tranh cũng nhạt,Neutral
" Thề là không nhắn tin cho nó nữa! (5 phút sau) Alo, ai có số điện thoại của crush tui hông? 🥹",Inlove
Vibe tiêu cực quá,Worry
"""Được người yêu quan tâm. Ấm áp vô cùng.""",Happy
 Chán,Angry
Mình mệt mỏi với việc phải che giấu cảm xúc thật của mình,Sad
Tui muốn sống một cuộc đời thật đáng nhớ,Happy
"""Đôi khi hạnh phúc chỉ là một cái nhìn, một cái chạm, một cái ôm thật chặt.""",Happy
 Tui sẽ làm tất cả để tình yêu của tụi mình bền vững,Inlove
"Bị ""ăn hiếp"", ""uất nghẹn""!",Angry
" Trái tim tôi như chiếc chuông reo liên hồi, mỗi tiếng chuông là một hồi chuông báo động về bài kiểm tra sắp tới",Worry
" Được bạn bè ủng hộ, cảm thấy mình được yêu thương",Happy
Cuộc sống này thật tươi đẹp 🌈,Happy
Tui thấy mình vô dụng... Thật sự vô dụng,Worry
"""Tao"" sẽ không bao giờ từ bỏ ước mơ!",Happy
Chuyện lạ có thật!,Angry
" Bạn bè phản bội mình, sau lưng nói xấu mình",Angry
Tui chỉ muốn được chấp nhận con người thật của mình thôi,Sad
"Hôm nay ""đu đưa"" theo nhạc hết mình, quên sầu quên lo! 🎶",Happy
" Ôi dào, lại nằm mơ thấy anh ấy nữa rồi!",InLove
" Làm xong bài tập, cảm thấy mệt mỏi",Neutral
Tôi chỉ muốn được một lần sống thật ý nghĩa,Sad
"""Hòa mình"" vào thiên nhiên",Sad
 Kiểu drained ấy,Neutral
Mình không thể tin được mình đã may mắn như vậy,Inlove
Ngon,Neutral
 Cái đèn này cứ nhấp nháy hoài!,Angry
Tui không biết mình có thể vượt qua được không,Sad
"Sao tui cứ mãi ""mơ mộng"" thế này, chắc tại ""xem phim nhiều quá""",Worry
 Khóc không ra nước mắt,Sad
"Tui ""lowkey"" (âm thầm) thấy ghét mọi thứ",Worry
"""Lẩu thái"" chua cay ""xè lưỡi"", ăn ""no căng rốn"" mới chịu về!",Happy
Maybe,Neutral
"Sao tui ""insecure"" (thiếu tự tin) dữ vậy nè?",Worry
" Tôi đi dạo một mình, để tìm lại sự bình yên trong tâm hồn",Angry
"""Học hành"" là ""ác mộng"", còn ""ngủ nướng"" là chân ái",Sad
"Tự nhiên bị ""cancel"" vé concert, đời tui!",Angry
" Thôi, mì gói vậy",Neutral
Crush nay có vẻ thân thiết với đứa con gái mới chuyển đến,Inlove
Áp lực đè nặng lên vai,Worry
"""Hạnh phúc là khi mình được sống là chính mình, không cần phải gồng mình để làm hài lòng ai cả.""",Happy
Có lẽ tôi không bao giờ có thể hạnh phúc,Sad
 Tui thấy ghen tị với mấy bạn lúc nào cũng tràn đầy năng lượng. 🔋,Worry
 Không biết mình mạnh mẽ đến khi nào,Worry
 Tự nhiên thấy ghen khi em ấy nói chuyện với người khác,InLove
 Hãy cứ sống hết mình và tận hưởng cuộc sống,Happy
"""Nụ cười"" em làm anh ""xao xuyến""",Sad
Tui hứa sẽ luôn là một người bạn tốt của tụi nó 🫶,Happy
"Mấy đứa ""thảo mai"" cứ thích ""nịnh bợ"", ""ghét kinh khủng""!",Angry
"Cuối cùng cũng xong, sướng tê người!",Happy
 Mùi nước hoa em ấy dùng hay thật đấy.  Phải tìm hiểu xem sao,InLove
"Tui ""học bài"" mà đầu óc cứ ""bay""",Sad
Bực bội khi phải nghe những lời phán xét vô căn cứ,Angry
 Tại sao mình lại quên mất việc quan trọng như thế!,Angry
Flex,Neutral
Cái cảm giác bất lực nó ngang một cái núi zậy đó! 😭,Worry
Muốn bỏ đi thật xa!,Angry
 Học hành kiểu này chắc tui rớt môn quá. End game! 😵‍💫,Worry
Cô giáo giảng bài. Tôi nghe,Neutral
Tui sẽ làm một video về sự trưởng thành của tui!,Inlove
Chắc tui nên mạnh mẽ hơn và đối mặt với mọi thử thách,Sad
Cringe! Duma khó chịu ghê!,Angry
 Nhìn ra cửa sổ,Neutral
"""Điên tiết, bài hát tủ bị remix dở tệ!""",Angry
Tui sợ phải đối mặt với sự thay đổi của thời gian. ⏳,Worry
" Trời đụ, cayyyyy!",Angry
 (Nam)  Mình muốn cùng cô ấy đi đến cuối cuộc đời,InLove
Mọi thứ trôi qua,Neutral
"Đi leo núi, chinh phục đỉnh cao! ⛰️",Happy
"""Motivation"" thì đầy mà ""action"" thì ""never"", chán!",Sad
Không còn hy vọng gì nữa,Worry
" Bạn hát hay xỉu ngang xỉu dọc, tui ""fall in love"" mất thôi!",Inlove
Vui,Neutral
"Trời lạnh mà được ăn bánh khoai, ""ấm bụng"" quá trời! 🔥",Happy
 Nhận thức được điểm mạnh,Neutral
Ai đó làm ơn im lặng dùm đi!,Angry
 Khó hiểu,Neutral
 Tôi muốn trốn tránh mọi thứ!,Angry
Cứ thế trôi qua,Neutral
Nhớ nhung về quá khứ,Neutral
" Sắp phỏng vấn xin việc rồi, lo quá!",Worry
Tư vấn,Neutral
"""Tui mà là ""nhà khoa học"", tui sẽ chế tạo ra một loại thuốc giúp con người ""bớt sân si""!""",Angry
 Một kỷ niệm đẹp,Happy
 Hãy cùng nhau viết nên câu chuyện tình yêu tuyệt đẹp,InLove
"Tui là chúa hề của lớp, ai chơi không? 🤡",Happy
Tui cảm thấy lạc lõng trong một thế giới mà mọi thứ đều thay đổi quá nhanh,Worry
"""Tui 'hồn nhiên'.""",Happy
 Tình yêu này…  mình sẽ trân trọng mãi mãi,InLove
Chưa gặp: ,Neutral
Thấy cuộc sống thật nhàm chán,Neutral
" ""Trời ơi tin được không? Mới mua cái áo xong sale sập sàn! Tức!""",Angry
 Không thể tin được!!!,Happy
"Tui ước gì mình có thể tìm thấy ""purpose"" của cuộc đời mình... ✨",Worry
Tui tự hỏi không biết con mèo nhà tui nó nghĩ gì về tui nhỉ? Chắc nó nghĩ tui là osin! 😼,Happy
"""Chẳng hiểu sao cứ phải cố gắng tỏ ra cool ngầu trước mặt người ta làm gì.""",Inlove
Bye bye mọi người 👋,Sad
"Tui chỉ muốn được ""Netflix and chill"" một mình thôi",Worry
Mệt,Worry
Nay làm bài kiểm tra bị sai ngu. 🤦‍♀️,Neutral
Sao tui cứ phải sống theo kỳ vọng của người khác?,Sad
"""Error 404: Happiness not found.""",Sad
"""Được ăn kem vào một ngày hè nóng nực, sảng khoái.""",Happy
 Tưởng bở à?,Angry
 Ăn gì cũng được. Không quan trọng,Neutral
"Tui vừa ""learned"" a valuable lesson. ""Growing and evolving""!",Happy
Tui chỉ mong sao tụi tui có thể cởi mở và chia sẻ mọi chuyện với nhau hơn,Sad
Tui vừa có một buổi hẹn hò lãng mạn. Cảm thấy trái tim mình tan chảy! 💕,Happy
 Stay vibin',Neutral
Tui ước gì mình có thể thay đổi được quá khứ,Worry
Chán nản với cuộc sống!,Angry
Mình đang tận hưởng cuộc sống,InLove
Mình muốn được tha thứ,Sad
"Hôm nay tui ăn pizza, ngon bá cháy! 🍕",Happy
Tui đã quá mệt mỏi với việc phải giả vờ. 😴,Sad
Tui sẽ gửi cho ảnh/cô ấy một món quà bất ngờ!,InLove
"Tôi cô đơn quá, không ai hiểu tôi cả 😭",Worry
Tự dưng thấy ghét bản thân mình. Sao mình lại có nhiều khuyết điểm đến vậy chứ?,Worry
Tui ước gì mình có thể bắt đầu lại từ đầu,Sad
"""Hôm nay đi học bị điểm kém, về nhà lại bị ba mẹ la. Cuộc đời!!!""",Angry
 Cảm giác như cả thế giới đang chống lại mình ấy,Sad
Tôi không muốn để cơn giận này hủy hoại cuộc sống của mình,Angry
" **Tui said:** ""Ăn gì cũng được"" là cái bẫy của loài người. Hỏi xong lựa cả tiếng đồng hồ! 🙄",Angry
 Tuyệt cú mèo!,Happy
Đi hội chợ. Đông,Neutral
"""Nấu ăn thành công một món mới, tự hào về bản thân quá.""",Happy
 Mình thích nắm tay nó,InLove
Mình không còn hy vọng,Worry
 Đừng tưởng…,Angry
"""Bún đậu mắm tôm"" ""thần thánh"", ai ""không ăn được"" thì thôi kệ! 🤣",Happy
Đơn giản là tồn tại,Neutral
Mình đúng là đỉnh của chóp!,Happy
 (Nữ)  Mỗi ngày bên anh ấy là một ngày đáng nhớ,InLove
"""Cùng nhau"" xây dựng một tương lai tươi đẹp",InLove
Gieo những hạt giống tốt,Inlove
"Tui yêu bạn, và tui không muốn mất bạn",Inlove
Không biết làm gì nữa,Neutral
"Muốn được là chính mình, không phải gồng mình lên để làm hài lòng ai cả",Worry
Học bài mà đầu cứ nghĩ đến nụ cười của cậu ấy.  🤦‍♂️,InLove
 Hạnh phúc quá!  😊,InLove
Mất đồ. Tức!,Angry
" ""Ghét cái đứa cứ thích dạy đời! 😒""",Angry
 Tôi muốn ở một mình!,Angry
"Hôm nay ăn được món bánh tráng trộn ""tủ"" ở cổng trường, tuổi thơ ùa về!",Happy
Sao tui cứ bị stress vì mấy chuyện nhỏ nhặt hoài vậy nè? Chill thôi mà! (Nói thì dễ...),Worry
Bạn bè nói chuyện. Tôi im lặng,Neutral
Mình cảm thấy bế tắc,Worry
"Nghe một bài hát buồn, lòng tôi lại càng thêm nặng trĩu",Sad
Tui thèm được đi chơi với bạn bè quá. Nhưng mà deadline,Sad
"Mấy nay thời tiết ""ẩm ương"", sáng nắng chiều mưa, làm tui ""tụt mood"" ngang. Ghét!",Worry
Hay là nên dừng lại?,Inlove
Tui biết cuộc sống có nhiều điều tốt đẹp,Sad
 Ăn sáng thôi,Neutral
"""Hạnh phúc là khi mình được sống trong sự tự do và không bị ràng buộc.""",Happy
Tui tự ti về bản thân quá,Worry
Chắc tui nên trân trọng những gì mình đang có,Sad
Sao mọi người cứ mãi chạy theo những thứ vật chất zậy nè? Tui thấy chán ghét lắm á!,Sad
Tìm gì ăn thôi,Neutral
Tự dưng thấy sợ khi nhận ra mình đang dần trở nên giống những người mà mình từng ghét,Worry
"Giá mà có thể tua lại thời gian, để tui được gặp anh thêm lần nữa",Inlove
Trang sức. Lấp lánh,Neutral
 Đang nghe tiếng chim hót,Neutral
"Crush làm tui ""unpack"" những nỗi buồn trong tim!",InLove
"""Đang đi shopping mà hết tiền! 💸""",Angry
"Trời se lạnh, muốn ăn lẩu nóng hổi! 🍲",Happy
 Phải mạnh mẽ vượt qua thử thách,Worry
"""Mood"" hôm nay tụt dốc không phanh. 📉",Sad
"Đi xem concert cùng ổng, vui hết nấc!",Inlove
 Anh ấy là người bạn trai tuyệt vời nhất,InLove
 Đúng gu tui,Happy
"""Tui sẽ"" không bao giờ bỏ cuộc",Sad
 Chủ nhật,Neutral
 Và nói rằng mọi chuyện rồi sẽ ổn thôi,Sad
"Crush có thích mình không? Hỏi ""thầy bói""! 🔮",Inlove
 Uống nước,Neutral
" Xem phim hay, cười đến chảy nước mắt.  Thích thật đấy!",Happy
" Ai đó cứ soi mói từng li từng tí, thật sự khó chịu",Angry
"Làm được điều mình thích, dù nhỏ thôi cũng thấy hạnh phúc rồi. 😊",Happy
Tuyệt cú mèo!,Happy
Cảm thấy tràn đầy năng lượng tích cực,Happy
"Muốn ""chill"" mà không có ai ""chill"" cùng",Sad
"""Sẵn sàng"" đối mặt với thử thách!",Happy
" Quyết tâm ""block"" hết những đứa con gái hay ""comment dạo"" trên trang cá nhân của crush. 🚫",Inlove
" Cô ấy ""seen"" tin nhắn của mình rồi. Hú hồn",InLove
"""Hạnh phúc là khi mình được làm những điều mình yêu thích.""",Happy
" Bị lạc đường, giờ không biết đường về!",Angry
 Đã bao lâu rồi mình không cười thật sự?,Sad
Tui sợ phải đối mặt với sự thay đổi của thời gian. ⏳,Worry
"""Con"" sẽ làm cho thế giới trở nên tốt đẹp hơn!",Happy
Nhưng không thể,Sad
"Hôm nay nhận ra, hạnh phúc là khi biết đủ",Happy
"Thật ra, tui nghiện mạng xã hội lắm... nhưng mà tui biết nó có hại cho mình",Sad
Giá mà có thể thức tỉnh và thoát khỏi nó,Worry
"""Quẩy"" hết mình cho tuổi trẻ!",Happy
 Thật sự là điên người,Angry
"Xem được vở kịch hay, cảm xúc dâng trào! 🎭",Happy
" Tui có phải là ""loser"" (kẻ thất bại) không dị?",Worry
 Mệt mỏi nhưng vẫn nhớ cậu ấy,InLove
"Nay mình ""xõa hết nấc"" vì được đi chơi với bạn bè nha!",Happy
"Tự nhiên thấy sợ phải yêu ai đó, sợ bị tổn thương lần nữa",Worry
"Tui thấy mình như một tác phẩm nghệ thuật dở dang, chưa hoàn thiện. 🚧",Worry
"Hôm nay tui ""try hard"" makeup để đi gặp ổng nè!",Inlove
 Mọi thứ thật hoàn hảo,InLove
"Hệ tư tưởng ""mãi keo"", tui và crush vẫn đang hạnh phúc lắm nha! 🥰",Happy
(tẻ nhạt),Neutral
Cảm thấy cô đơn giữa đám đông,Worry
Nay “đu trend” với filter “ảo diệu” trên TikTok!,Happy
"Tui muốn cùng crush ""cosplay"" thành couple trong truyện tranh!",InLove
Tui chỉ muốn được ở nhà ôm mèo và xem Netflix thôi. Is that too much to ask?,Worry
" Rồi xong phim, mai thuyết trình mà giờ tui mới mở slide ra coi. 💀",Worry
 Nhưng lại sợ người ta không chấp nhận,Worry
Sao tui cứ phải sợ bị phán xét?,Sad
"Giả dối như lớp mặt nạ, che đậy",Sad
Tui không muốn phải sống trong sự dối trá nữa,Sad
 Ai rồi cũng phải lớn,Neutral
Tui chỉ muốn yên bình thôi mà!,Angry
"Tui thấy mình như ""simp"" khi cứ chạy theo người ta. 🤦‍♀️",Inlove
 Nhìn status người ta vui vẻ mà mình chạnh lòng,Sad
"Hôm nay tui mơ thấy crush. Giấc mơ ""ngọt ngào"" nhất trên đời!",Inlove
Tui ước gì có thể tìm thấy được con đường mình muốn đi,Sad
Tui yêu bạn nhiều hơn những gì bạn nghĩ,Inlove
 Cái áo mới bị lem màu.  Hối hận!,Angry
"Tự nhiên bị so sánh với người khác, ""quạo""!",Angry
" Cái điện thoại cứ hay bị treo máy, không hiểu tại sao",Angry
Mình có nên thử cái gì đó mới không?,Neutral
