COMMENT,MOOD
 Tôi thấy mình may mắn khi có những người yêu thương xung quanh,Happy
 Thành quả lao động hăng say là niềm tự hào lớn lao,Happy
 Tôi đã đạt được một bước tiến quan trọng trong sự nghiệp,Happy
 Sự giúp đỡ của người khác đã tiếp thêm sức mạnh cho tôi,Happy
 Tôi cảm thấy biết ơn vì sức khỏe của mình,Happy
 Hạnh phúc là khi được sống trọn vẹn với đam mê,Happy
 Tôi tìm thấy sự an yên trong tâm hồn mình,Happy
" Ôi, hạnh phúc quá đỗi!  Tôi không thể diễn tả nổi!",Happy
 Tim tôi như muốn nhảy ra khỏi lồng ngực vì sung sướng,Happy
 Tôi hạnh phúc đến mức nước mắt cứ tuôn rơi,Happy
 Đây là khoảnh khắc tuyệt vời nhất trong đời tôi!,Happy
 Tôi cảm thấy mình đang sống trong giấc mơ đẹp,Happy
" Cảm xúc vỡ òa, không gì sánh bằng!",Happy
 Tôi ngập tràn trong hạnh phúc và niềm vui sướng,Happy
" Hạnh phúc này thật khó tin, nhưng lại quá chân thực",Happy
 Tôi muốn hét lên để chia sẻ niềm vui này với cả thế giới,Happy
 Đây chính là đỉnh cao của hạnh phúc,Happy
 Tôi cảm thấy mình được sống lại,Happy
" Mọi thứ thật hoàn hảo, tôi không thể cầu mong hơn nữa",Happy
" Niềm hạnh phúc tràn ngập tâm hồn, làm tôi lâng lâng",Happy
 Tôi cảm thấy mình bay bổng trên mây,Happy
 Hạnh phúc đến bất ngờ và mãnh liệt,Happy
" Cảm giác này thật tuyệt vời, khó quên",Happy
 Thật khó diễn tả hết niềm hạnh phúc này bằng lời,Happy
 Tôi đang sống trong một ngày tuyệt vời,Happy
 Hạnh phúc này sẽ mãi in sâu trong trái tim tôi,Happy
 Tôi muốn chia sẻ hạnh phúc này với tất cả mọi người,Happy
 Ánh mắt anh ấy làm tim tôi rung động,Happy
 Cảm giác được ở bên anh ấy thật tuyệt vời,Happy
" Anh ấy nắm tay tôi, tim tôi đập loạn nhịp",Happy
 Tình yêu của chúng tôi thật ngọt ngào,Happy
 Anh ấy luôn làm tôi cười,Happy
 Tôi yêu anh ấy hơn cả chính bản thân mình,Happy
 Anh ấy là người đàn ông tuyệt vời nhất,Happy
 Chúng tôi cùng nhau tạo nên những kỉ niệm đẹp,Happy
 Tình yêu của chúng tôi sẽ mãi mãi bền chặt,Happy
 Tôi thấy mình may mắn khi có anh ấy,Happy
 Anh ấy luôn hiểu và thông cảm cho tôi,Happy
 Tình yêu của chúng tôi là nguồn động lực lớn lao,Happy
 Chúng tôi cùng nhau vượt qua mọi khó khăn,Happy
 Anh ấy luôn làm tôi cảm thấy an toàn và được che chở,Happy
 Tôi hạnh phúc khi có anh ấy trong đời mình,Happy
 Cảm giác được yêu thương thật tuyệt vời,Happy
 Tình yêu là món quà tuyệt vời nhất mà cuộc đời ban tặng,Happy
 Tôi trân trọng từng khoảnh khắc bên anh ấy,Happy
 Tình yêu của chúng tôi ngày càng thêm sâu đậm,Happy
 Anh ấy là một phần không thể thiếu trong cuộc đời tôi,Happy
 Tôi đã làm được rồi!  Cuối cùng cũng thành công!,Happy
 Mọi nỗ lực của tôi đã được đền đáp xứng đáng,Happy
 Tôi vô cùng tự hào về bản thân mình,Happy
 Đây là thành quả của sự cố gắng không ngừng nghỉ,Happy
 Tôi đã chinh phục được thử thách khó khăn,Happy
 Tôi đã đạt được mục tiêu mà mình đã đặt ra,Happy
 Tôi cảm thấy mình mạnh mẽ hơn bao giờ hết,Happy
 Niềm vui chiến thắng thật tuyệt vời,Happy
 Tôi đã chứng minh được khả năng của bản thân,Happy
Thành công này là động lực để tôi tiếp tục phấn đấu,Happy
" Gió biển mát lành thổi qua mặt, xua tan mọi mệt mỏi",Happy
 Những bông hoa dại ven đường nở rộ sắc màu,Happy
 Tiếng chim hót véo von trong khu rừng yên tĩnh,Happy
" Ánh nắng ban mai chiếu rọi khắp nơi, ấm áp và tươi sáng",Happy
" Dòng suối chảy róc rách, như bản nhạc du dương",Happy
" Không gian trong lành, mát mẻ làm tôi thư thái",Happy
 Tôi đắm mình trong vẻ đẹp của thiên nhiên,Happy
 Cảnh vật hùng vĩ làm tôi ngỡ ngàng,Happy
 Tôi cảm thấy mình hòa quyện với thiên nhiên,Happy
 Thiên nhiên thật kỳ diệu và tuyệt vời,Happy
 Tôi tìm thấy sự bình an trong tâm hồn mình,Happy
 Tôi đã đạt được sự thấu hiểu bản thân sâu sắc hơn,Happy
 Tôi cảm thấy mình được tự do và giải thoát,Happy
 Tôi đã tìm thấy ý nghĩa của cuộc sống,Happy
 Tôi sống trọn vẹn với chính mình,Happy
 Tôi cảm thấy biết ơn vì những gì mình đang có,Happy
 Tôi sống tích cực và lạc quan hơn,Happy
 Tôi đã học được cách yêu thương bản thân,Happy
 Tôi đã buông bỏ những gánh nặng trong lòng,Happy
 Tôi tìm thấy sự tự do nội tâm,Happy
 Chuyện gì thế này?  Tôi trúng số rồi sao?!,Happy
 Không thể tin được!  Mọi chuyện cứ như trong mơ vậy,Happy
 Thật bất ngờ!  Một niềm vui đến không báo trước,Happy
 Hạnh phúc đến thật bất ngờ và kỳ diệu,Happy
 Tôi không ngờ mình lại may mắn đến thế,Happy
 Con yêu bố mẹ lắm!,Happy
 Cháu yêu bà ngoại nhất trên đời!,Happy
 Em gái của mình thật dễ thương,Happy
 Gia đình mình thật hạnh phúc,Happy
 Anh trai mình luôn quan tâm và bảo vệ mình,Happy
 Tuyệt vời!,Happy
 Hạnh phúc!,Happy
 Thật tuyệt!,Happy
 Đỉnh cao!,Happy
 Hoàn hảo!,Happy
 Sung sướng!,Happy
 Tuyệt vời!,Happy
 Thật đáng nhớ!,Happy
 Niềm vui bất tận!,Happy
 Ngày tuyệt vời!,Happy
" Gia đình sum họp,  thời tiết đẹp, và món ăn ngon,  hạnh phúc quá!",Happy
" Thành công trong công việc và tình yêu viên mãn,  cuộc sống thật ý nghĩa",Happy
" Sức khỏe tốt, tâm hồn thanh thản,  tôi cảm thấy mình thật may mắn",Happy
" Tất cả mọi thứ đều tốt đẹp,  tôi tràn đầy hy vọng và niềm tin",Happy
" Mọi khó khăn đều qua đi,  tôi đón nhận hạnh phúc trọn vẹn",Happy
 Cảm ơn cuộc đời đã cho tôi những điều tốt đẹp này,Happy
" Tôi biết ơn gia đình, bạn bè, và những người xung quanh",Happy
 Tôi trân trọng từng khoảnh khắc hạnh phúc,Happy
 Tôi sẽ luôn cố gắng để giữ gìn hạnh phúc này,Happy
 Hạnh phúc là điều đáng trân trọng nhất,Happy
" Im lặng bao trùm căn phòng, chỉ còn tiếng thở dài của mình vang vọng",Sad
 Cảm giác lạc lõng như một hòn đá giữa đại dương mênh mông,Sad
" Chỉ mình tôi, giữa dòng người tấp nập",Sad
 Mệt mỏi với sự cô đơn đến thấu xương,Sad
" Ngày khác, nhưng vẫn là nỗi buồn cũ",Sad
" Đêm nay, lại một đêm dài đằng đẵng",Sad
" Không ai hiểu, không ai chia sẻ",Sad
 Tôi như một con tàu trôi dạt giữa biển khơi không đích đến,Sad
" Tâm trạng nặng trĩu, như đeo cả thế giới trên vai",Sad
"Căn phòng trống trải, phản chiếu sự trống rỗng trong lòng",Sad
 Dường như cả thế giới đang quay lưng lại với tôi,Sad
" Gió lạnh thổi qua, mang theo hơi thở của sự cô đơn",Sad
" Một mình, trong bóng tối",Sad
" Thế giới này thật rộng lớn, nhưng lại chật chội đến lạ kỳ",Sad
" Tìm kiếm một điểm tựa, nhưng chẳng thấy đâu cả",Sad
" Lòng trống rỗng, chỉ còn lại sự im lặng",Sad
 Tôi chìm đắm trong biển tuyệt vọng,Sad
" Đêm nay, giấc ngủ xa vời",Sad
 Những giọt nước mắt rơi không tiếng động,Sad
 Tất cả chỉ là hư vô,Sad
" Thất bại ê chề, đớn đau đến tận cùng",Sad
 Tất cả nỗ lực đổ sông đổ biển,Sad
" Tôi đã cố gắng hết sức, nhưng vẫn không đủ",Sad
 Kết quả thật tàn nhẫn,Sad
 Hy vọng tan vỡ như bong bóng xà phòng,Sad
 Cảm giác hụt hẫng khó tả,Sad
 Thất vọng đến cùng cực,Sad
 Tôi đã mất tất cả,Sad
 Không biết nên làm gì tiếp theo,Sad
" Mục tiêu xa vời, con đường quá dài",Sad
 Sự cố gắng không được đền đáp xứng đáng,Sad
 Tôi cảm thấy mình thật vô dụng,Sad
 Mọi thứ sụp đổ trước mắt,Sad
 Đau đớn đến tê liệt,Sad
 Chắc mình không bao giờ đạt được điều đó,Sad
" Tương lai mịt mù, không thấy lối thoát",Sad
 Tôi đã đánh mất chính mình,Sad
 Ánh sáng hy vọng tắt dần,Sad
" Thất bại này, một bài học quá đắt giá",Sad
 Tôi cần thời gian để vượt qua,Sad
 Nỗi đau mất mát vẫn còn nguyên vẹn,Sad
 Nhớ anh/cô ấy da diết,Sad
 Sự ra đi của anh/cô ấy để lại khoảng trống vô cùng lớn,Sad
 Tôi không thể quên được anh/cô ấy,Sad
 Cuộc sống thiếu anh/cô ấy thật tẻ nhạt,Sad
 Mọi thứ đều gợi nhớ về anh/cô ấy,Sad
 Tôi lạc lõng giữa dòng đời,Sad
" Tình yêu tan vỡ, trái tim tan nát",Sad
 Chia ly là điều đau đớn nhất,Sad
 Tôi ước mình có thể quay trở lại quá khứ,Sad
 Những kỷ niệm cứ mãi hiện về,Sad
 Nước mắt không thể nào ngừng rơi,Sad
 Tôi không thể chấp nhận sự thật này,Sad
 Chỉ còn lại sự trống trải và cô đơn,Sad
 Anh/cô ấy ra đi mãi mãi,Sad
 Tôi hận chính mình vì đã để mất anh/cô ấy,Sad
 Tất cả chỉ là kỷ niệm,Sad
" Giờ đây, chỉ còn lại nỗi buồn sâu thẳm",Sad
 Tôi không thể sống thiếu anh/cô ấy,Sad
 Thời gian cũng không thể xóa nhòa nỗi đau này,Sad
 Tôi ghét chính mình,Sad
 Tôi luôn cảm thấy mình không đủ tốt,Sad
 Mọi người đều tốt hơn tôi,Sad
 Tôi tự ti về bản thân,Sad
 Tôi không xứng đáng với hạnh phúc,Sad
 Tôi luôn cảm thấy mình bị bỏ rơi,Sad
 Tôi sợ hãi sự cô đơn,Sad
 Tôi không có giá trị gì cả,Sad
 Tôi luôn tự trách mình,Sad
 Tôi cảm thấy mình là gánh nặng,Sad
 Mọi người đều ghét tôi,Sad
 Tôi không thể thay đổi bản thân,Sad
 Tôi sống trong mặc cảm tội lỗi,Sad
 Tôi luôn thấy mình thấp kém,Sad
 Tôi không biết làm thế nào để yêu thương bản thân,Sad
 Tôi cảm thấy mình không được ai yêu thương,Sad
 Tôi luôn sợ bị phán xét,Sad
 Tôi khao khát được chấp nhận,Sad
 Tôi cần được an ủi và động viên,Sad
 Tôi cần tìm lại chính mình,Sad
 Tôi tức giận đến phát điên,Sad
 Tôi cảm thấy bất lực trước mọi thứ,Sad
 Không có gì là công bằng,Sad
 Tôi muốn hét lên thật to,Sad
 Tôi muốn phá hủy tất cả,Sad
 Tất cả đều là lỗi của họ,Sad
 Tôi không thể kiểm soát được cảm xúc của mình,Sad
 Sự bất công này thật tàn nhẫn,Sad
 Tôi cảm thấy mình bị phản bội,Sad
 Tôi muốn trốn tránh tất cả,Sad
 Tôi mệt mỏi với cuộc sống này,Sad
 Tôi không biết phải làm sao nữa,Sad
 Tất cả đều khiến tôi thất vọng,Sad
 Tôi muốn buông bỏ tất cả,Sad
 Sự tức giận đang nuốt chửng tôi,Sad
 Tôi cần tìm một lối thoát,Sad
 Tôi không thể chịu đựng thêm nữa,Sad
 Tôi cần sự giúp đỡ,Sad
 Tôi muốn được giải thoát,Sad
 Tôi cần phải bình tĩnh lại,Sad
 Tôi đã làm sai điều gì?,Sad
 Tôi đã đánh mất những gì?,Sad
 Liệu có cơ hội nào để sửa chữa?,Sad
 Tôi cần phải làm gì bây giờ?,Sad
 Những quyết định sai lầm trong quá khứ cứ ám ảnh tôi,Sad
" Tôi day dứt về những lời nói, hành động của mình",Sad
 Tôi cần phải tìm ra nguyên nhân của mọi chuyện,Sad
 Tôi cần phải học hỏi từ những sai lầm,Sad
 Tôi cần phải mạnh mẽ hơn,Sad
 Tôi cần phải tha thứ cho bản thân,Sad
 Tôi cảm thấy mình quá yếu đuối,Sad
 Tôi dễ bị tổn thương,Sad
 Tôi cần được bảo vệ,Sad
 Tôi sợ hãi tương lai,Sad
 Tôi không biết mình có thể vượt qua được không,Sad
 Tôi cần tìm một nơi trú ẩn,Sad
 Tôi mong manh như một bông hoa sắp tàn,Sad
 Tôi dễ dàng gục ngã,Sad
 Tôi cần được ai đó nâng đỡ,Sad
" Tôi cần sự động viên, khích lệ",Sad
 Tôi vẫn hy vọng có một ngày mọi chuyện sẽ tốt đẹp hơn,Sad
 Tôi khao khát một cuộc sống hạnh phúc,Sad
 Tôi mong chờ một phép màu,Sad
 Tôi tin rằng vẫn còn hy vọng,Sad
 Tôi sẽ cố gắng vượt qua tất cả,Sad
 Ánh sáng hy vọng vẫn còn le lói,Sad
 Tôi sẽ không bỏ cuộc,Sad
 Tôi sẽ tìm thấy hạnh phúc của mình,Sad
 Tôi tin tưởng vào tương lai,Sad
 Tôi sẽ sống tốt hơn,Sad
 Cơn mưa chiều nay lạnh lẽo như chính tâm trạng tôi lúc này,Sad
" Ly cà phê nguội lạnh, cũng như tình cảm đã phai nhạt",Sad
 Những dòng chữ trên trang giấy nhòe nhoẹt theo nước mắt,Sad
" Đêm nay, tiếng ve kêu thật buồn",Sad
 Gió thổi mạnh làm lay động cả những chiếc lá trên cây,Sad
 Bóng tối bao trùm lấy tôi,Sad
" Mùi hương hoa sữa thoang thoảng, nhưng không làm dịu đi nỗi buồn",Sad
" Con mèo nằm cuộn tròn, hình ảnh đó làm tôi càng thêm cô đơn",Sad
" Tiếng đồng hồ tích tắc đều đều, như nhắc nhở tôi về thời gian trôi qua",Sad
" Mặt trời lặn xuống, mang theo hy vọng tàn phai",Sad
 Chán nản,Sad
 Tuyệt vọng,Sad
 Đau khổ,Sad
 Tan vỡ,Sad
 Mệt mỏi,Sad
 Buồn tẻ,Sad
 Cô độc,Sad
 Thất bại,Sad
 Hụt hẫng,Sad
 Vô vọng,Sad
" Cái kiểu làm việc tắc trách đó, thật không thể chấp nhận được!",Angry
 Hắn ta dám nói vậy với tôi sao? Thật quá đáng!,Angry
 Lại quên hẹn nữa rồi! Tức muốn nổ tung!,Angry
 Sự vô tâm của anh ta khiến tôi nổi điên lên được,Angry
" Thật không thể tin nổi, họ lại làm chuyện đó sau lưng tôi",Angry
 Tôi đã cảnh cáo rồi mà vẫn tái phạm!,Angry
 Sự giả dối của hắn ta khiến tôi căm phẫn,Angry
" Tôi đã kiên nhẫn bao lâu rồi, giờ thì hết chịu nổi!",Angry
 Hành động đó thật thiếu suy nghĩ và bất lịch sự!,Angry
 Tôi không thể hiểu nổi sao họ lại có thể làm như vậy?,Angry
 Thật là hết sức bực mình! Sao lại để chuyện này xảy ra?,Angry
 Tôi muốn cho hắn ta một bài học nhớ đời!,Angry
 Sự ích kỷ của cô ta thật khó chịu!,Angry
" Họ cứ cố tình làm trái ý tôi, thật khó chịu!",Angry
 Tôi đã cố gắng bao nhiêu rồi mà vẫn bị đối xử như vậy!,Angry
 Sao lại không chịu nghe lời tôi? Thật bực bội!,Angry
 Sự vô trách nhiệm đó thật không thể tha thứ được!,Angry
 Tôi muốn hét lên cho thỏa cơn giận!,Angry
 Thật không thể tin nổi sự ngang ngược của họ!,Angry
 Đến bao giờ họ mới chịu thay đổi?,Angry
 Tôi sắp phát điên lên mất!,Angry
 Cái tính hay cãi bướng đó thật đáng ghét!,Angry
 Hắn ta cố tình làm khó dễ tôi đúng không?,Angry
 Sự thiếu tôn trọng đó thật không thể chấp nhận!,Angry
 Tôi thấy máu sôi lên khi chứng kiến cảnh đó,Angry
 Thật không thể chịu đựng được sự hỗn láo đó nữa!,Angry
 Tôi đã quá nhường nhịn rồi!,Angry
 Sự thiếu trung thực của họ làm tôi phẫn nộ,Angry
 Họ đang cố tình khiêu khích tôi sao?,Angry
 Tôi muốn cho họ thấy tôi không phải dạng vừa!,Angry
" Ôi trời, lại tắc đường nữa rồi!",Angry
 Mất cả buổi sáng vì sự cố kỹ thuật này!,Angry
 Chiếc máy tính này làm tôi phát điên!,Angry
" Mưa tầm tã thế này, thật là bực mình!",Angry
 Lại bị hỏng xe nữa rồi!,Angry
 Đồ đạc cứ lung tung thế này thật khó chịu!,Angry
 Tôi muốn đập nát cái máy in này!,Angry
 Công việc chất chồng khiến tôi phát điên!,Angry
 Hạn chót cận kề mà vẫn chưa xong!,Angry
 Tôi ghét cái cảm giác bị thúc ép như thế này!,Angry
 Tôi muốn xé nát tất cả những giấy tờ này đi!,Angry
 Sự chậm trễ này thật không thể tha thứ!,Angry
 Thật là mệt mỏi và bực bội!,Angry
 Cái nóng bức này khiến tôi khó chịu vô cùng!,Angry
 Tôi muốn nghỉ ngơi nhưng không được!,Angry
 Tiếng ồn ào bên ngoài thật khó chịu!,Angry
 Tôi muốn trốn khỏi tất cả những điều này!,Angry
 Sự bất tiện này khiến tôi tức điên lên!,Angry
 Tôi cảm thấy như sắp phát nổ!,Angry
 Tôi muốn phá hủy tất cả mọi thứ!,Angry
 Sao tôi lại vụng về thế này?,Angry
 Tôi ghét sự yếu đuối của bản thân!,Angry
 Tôi thật là vô dụng!,Angry
 Tại sao tôi lại ngu ngốc đến thế?,Angry
 Tôi muốn tự vả vào mặt mình!,Angry
 Tôi đã mắc sai lầm nghiêm trọng!,Angry
 Tôi ghét sự thiếu quyết đoán của mình!,Angry
 Tôi tự trách mình vô cùng!,Angry
 Tôi đã làm hỏng mọi thứ rồi!,Angry
 Tôi muốn cải thiện bản thân ngay lập tức!,Angry
 Sự thiếu kiên nhẫn của tôi thật đáng trách!,Angry
 Tôi cần phải mạnh mẽ hơn!,Angry
 Tôi không thể tha thứ cho sự yếu đuối này!,Angry
 Tôi phải tự mình vượt qua điều này!,Angry
 Sự thất bại này khiến tôi tức giận với chính mình,Angry
 Tôi sẽ không để điều này xảy ra nữa!,Angry
 Tôi phải chứng minh cho mọi người thấy!,Angry
 Tôi sẽ không bỏ cuộc!,Angry
 Tôi sẽ nỗ lực hơn nữa!,Angry
 Sự lười biếng của tôi thật đáng ghét!,Angry
 Đủ rồi! Tôi không thể chịu đựng thêm nữa!,Angry
 Tôi sẽ không bao giờ tha thứ cho hắn ta!,Angry
 Đây là giọt nước làm tràn ly!,Angry
 Tôi sẽ không để họ được yên!,Angry
 Họ sẽ phải trả giá cho những gì đã làm!,Angry
 Tôi sẽ không để mình bị bắt nạt nữa!,Angry
 Tôi thề sẽ báo thù!,Angry
 Đây là lời cảnh cáo cuối cùng!,Angry
 Tôi sẽ không bao giờ quên điều này!,Angry
 Tôi sẽ làm cho họ hối hận!,Angry
 Thật nực cười!,Angry
 Không thể tin nổi!,Angry
 Thật vô lý!,Angry
 Thật là điên rồ!,Angry
 Đáng ghét!,Angry
 Khó chịu!,Angry
 Tức chết đi được!,Angry
 Phát điên!,Angry
 Thật phiền phức!,Angry
 Mệt mỏi!,Angry
 (Hình ảnh nắm tay siết chặt),Angry
 (Hình ảnh khuôn mặt đỏ bừng),Angry
 (Hình ảnh người đang gào thét),Angry
 (Hình ảnh đồ vật bị ném xuống đất),Angry
 (Hình ảnh bàn tay đập mạnh xuống bàn),Angry
 (Hình ảnh người đang giậm chân),Angry
 (Hình ảnh một vật bị phá vỡ),Angry
 (Hình ảnh ánh mắt giận dữ),Angry
 (Hình ảnh khuôn mặt cau có),Angry
(Hình ảnh người đang thở hổn hển),Angry
 Cơn giận như lửa thiêu đốt trong tôi,Angry
 Tôi muốn nổ tung thành triệu mảnh!,Angry
 Máu tôi sôi lên như đang sôi sùng sục,Angry
 Tôi cảm thấy như có con thú dữ đang gầm rú trong lồng ngực,Angry
 Cơn giận dâng lên nghẹn ngào trong cổ họng,Angry
 Tôi muốn đập tan tất cả mọi thứ cản đường tôi,Angry
 Sự tức giận bóp nghẹt tôi,Angry
 Tôi cảm thấy như sắp mất kiểm soát,Angry
 Tôi như muốn nhấn chìm tất cả trong biển lửa giận dữ,Angry
 Cơn giận này sẽ không bao giờ nguôi ngoai,Angry
" Thật ""tuyệt vời"" làm sao!",Angry
" ""Hoàn hảo"" đúng không?",Angry
" ""Thật hiệu quả"" đấy!",Angry
" ""Tuyệt tác"" của họ đấy!",Angry
" ""Đáng khen"" quá đi!",Angry
 Bực!,Angry
 Giận!,Angry
 Tức!,Angry
 Ghét!,Angry
 Khốn nạn!,Angry
" Tôi đập mạnh bàn tay xuống bàn, tiếng động vang lên khiến cả căn phòng im lặng",Angry
" Tôi ném chiếc cốc xuống đất, nó vỡ tan tành",Angry
" Tôi thở hổn hển, hai hàm răng nghiến chặt",Angry
" Tôi bước đi nhanh chóng, từng bước chân dồn mạnh xuống đất",Angry
" Tôi nắm chặt nắm đấm, gân xanh nổi lên",Angry
 Tôi quay lưng bỏ đi không một lời,Angry
" Tôi ngồi thụp xuống ghế, toàn thân run rẩy",Angry
 Tôi dùng hết sức lực để đấm vào gối,Angry
 Tôi đóng sầm cửa lại một cách mạnh mẽ,Angry
" Tôi bước nhanh ra khỏi phòng, để lại không gian yên tĩnh",Angry
 Tôi đang hình dung ra cảnh mình trút hết cơn giận lên người đó,Angry
 Tôi đang tự hỏi làm sao để trả thù cho sự bất công này,Angry
" Tôi đang lên kế hoạch cho một cuộc ""trả đũa"" thích đáng",Angry
 Tôi đang tưởng tượng ra cảnh họ phải xin lỗi tôi,Angry
 Tôi đang tự nhủ phải giữ bình tĩnh nhưng thật khó,Angry
 Tôi như bị đóng đinh bởi cơn thịnh nộ,Angry
 Cơn giận bùng nổ như một ngọn núi lửa,Angry
 Tôi cảm thấy như đang bị nhấn chìm trong biển lửa giận dữ,Angry
 Tôi như muốn xé xác kẻ đã làm tổn thương tôi,Angry
 Cơn giận cuồn cuộn như dòng thác dữ,Angry
 Tôi muốn biến họ thành…thỏ!,Angry
 Chỉ muốn cho họ ăn… ớt!,Angry
 Ước gì mình có siêu năng lực để…,Angry
 Giá như thời gian quay lại được thì…,Angry
 Tôi sẽ… (ý tưởng trả thù hài hước),Angry
 Chán!,Angry
 Hết sức!,Angry
 Đủ rồi!,Angry
 Không chịu được nữa!,Angry
 Tức điên!,Angry
Hôm nay trời nắng,Neutral(Meh)
Ăn cơm xong,Neutral(Meh)
Đã đọc xong cuốn sách,Neutral(Meh)
Ngồi nhìn mưa rơi,Neutral(Meh)
Đi bộ quanh công viên,Neutral(Meh)
Gặp người quen trên phố,Neutral(Meh)
Hoàn thành công việc được giao,Neutral(Meh)
Uống một ly nước,Neutral(Meh)
Nghe nhạc,Neutral(Meh)
Xem phim,Neutral(Meh)
Mặt trời lặn,Neutral(Meh)
Đã ngủ đủ giấc,Neutral(Meh)
Chuyến xe buýt đến đúng giờ,Neutral(Meh)
 Trời tối,Neutral(Meh)
 Đã tắm,Neutral(Meh)
 Máy tính hoạt động tốt,Neutral(Meh)
 Điện thoại báo đầy pin,Neutral(Meh)
 Đã lau nhà,Neutral(Meh)
 Đã giặt quần áo,Neutral(Meh)
 Ăn sáng,Neutral(Meh)
 Ngày hôm nay trôi qua,Neutral(Meh)
 Đã tắt đèn,Neutral(Meh)
 Mở cửa sổ,Neutral(Meh)
 Đóng cửa sổ,Neutral(Meh)
 Nhìn thấy một con chim,Neutral(Meh)
 Nghe thấy tiếng chó sủa,Neutral(Meh)
 Mùi cà phê,Neutral(Meh)
 Cảm giác bình thường,Neutral(Meh)
 Không có gì đặc biệt,Neutral(Meh)
 Một ngày như bao ngày khác,Neutral(Meh)
 Hội họp kết thúc đúng lịch trình,Neutral(Meh)
 Thực hiện cuộc gọi điện thoại công việc,Neutral(Meh)
 Nhận được email thông báo,Neutral(Meh)
 Gửi báo cáo,Neutral(Meh)
 Tham dự buổi thuyết trình,Neutral(Meh)
 Đã hoàn thành dự án,Neutral(Meh)
 Đi siêu thị mua đồ,Neutral(Meh)
 Đã trả hóa đơn,Neutral(Meh)
 Sắp xếp lại giấy tờ,Neutral(Meh)
 Thay đổi mật khẩu,Neutral(Meh)
 Đã đặt vé máy bay,Neutral(Meh)
 Đã đặt bàn ăn tối,Neutral(Meh)
 Đọc một bài báo,Neutral(Meh)
 Nghe bản tin thời sự,Neutral(Meh)
 Tìm thấy chìa khóa,Neutral(Meh)
 Mất chìa khóa. (Sau đó tìm lại),Neutral(Meh)
 Đã gặp bác sĩ,Neutral(Meh)
 Kết quả xét nghiệm. (Không có thêm chi tiết),Neutral(Meh)
 Đi làm,Neutral(Meh)
 Về nhà,Neutral(Meh)
 Xe bị hỏng. (Nhưng đã được sửa),Neutral(Meh)
 Đã nhận được một món quà,Neutral(Meh)
 Đã gửi một món quà,Neutral(Meh)
 Đã gặp gia đình,Neutral(Meh)
 Đã ăn tối cùng bạn bè. (Không có cảm xúc),Neutral(Meh)
